slug,readableName,beforeResolved,beforeQid,beforeHasEnwiki,beforeStatus,afterResolved,afterQid,afterHasEnwiki,afterStatus
chalukya-empire,Chalukya Empire,false,,false,FALLBACK,false,,false,FALLBACK
champa-city-states,Champa City States,false,,false,FALLBACK,false,,false,FALLBACK
chim-empire,Chimú Empire,false,,false,FALLBACK,false,,false,FALLBACK
chola-state,Chola State,false,,false,FALLBACK,false,,false,FALLBACK
city-states,City States,false,,false,FALLBACK,false,,false,FALLBACK
crimean-khanate,Crimean Khanate,false,,false,FALLBACK,false,,false,FALLBACK
croatian-kingdom,Croatian Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
cuman-khanates,Cuman Khanates,false,,false,FALLBACK,false,,false,FALLBACK
cuman-kipchak-confederation,Cuman Kipchak Confederation,false,,false,FALLBACK,false,,false,FALLBACK
czech-republic,Czech Republic,false,,false,FALLBACK,false,,false,FALLBACK
dendi-kingdom,Dendi Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
dominican-republic,Dominican Republic,false,,false,FALLBACK,false,,false,FALLBACK
duchy-of-swabia,Duchy Of Swabia,false,,false,FALLBACK,false,,false,FALLBACK
dutch-republic,Dutch Republic,true,Q170072,true,OK,true,Q170072,true,OK
eastern-roman-empire,Eastern Roman Empire,false,,false,FALLBACK,true,Q41088,false,OK
empire-of-alexander,Empire Of Alexander,false,,false,FALLBACK,true,Q8168,false,OK
empire-of-ghana,Empire Of Ghana,false,,false,FALLBACK,false,,false,FALLBACK
empire-of-japan,Empire Of Japan,false,,false,FALLBACK,false,,false,FALLBACK
expansionist-kingdom-of-merina,Expansionist Kingdom Of Merina,false,,false,FALLBACK,false,,false,FALLBACK
fatimid-caliphate,Fatimid Caliphate,false,,false,FALLBACK,false,,false,FALLBACK
first-samori-empire,First Samori Empire,false,,false,FALLBACK,false,,false,FALLBACK
frankish-kingdom,Frankish Kingdom,true,Q12131,true,OK,true,Q12131,true,OK
fulani-empire,Fulani Empire,false,,false,FALLBACK,false,,false,FALLBACK
georgian-kingdom,Georgian Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
german-empire,German Empire,true,Q43287,false,OK,true,Q43287,false,OK
golden-horde,Golden Horde,true,Q131054,false,OK,true,Q131054,false,OK
grand-duchy-of-hesse,Grand Duchy Of Hesse,false,,false,FALLBACK,false,,false,FALLBACK
grand-duchy-of-moscow,Grand Duchy Of Moscow,false,,false,FALLBACK,false,,false,FALLBACK
great-khanate,Great Khanate,false,,false,FALLBACK,false,,false,FALLBACK
greek-city-states,Greek City States,false,,false,FALLBACK,false,,false,FALLBACK
gupta-empire,Gupta Empire,true,Q188889,true,OK,true,Q188889,true,OK
hafsid-caliphate,Hafsid Caliphate,false,,false,FALLBACK,false,,false,FALLBACK
han-empire,Han Empire,false,,false,FALLBACK,false,,false,FALLBACK
hausa-states,Hausa States,false,,false,FALLBACK,false,,false,FALLBACK
helvetic-republic,Helvetic Republic,false,,false,FALLBACK,false,,false,FALLBACK
himyarite-kingdom,Himyarite Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
hindu-kingdoms,Hindu Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
hindu-kingdoms-and-republics,Hindu Kingdoms And Republics,false,,false,FALLBACK,false,,false,FALLBACK
hindu-states,Hindu States,false,,false,FALLBACK,false,,false,FALLBACK
holy-roman-empire,Holy Roman Empire,true,Q12548,true,OK,true,Q12548,true,OK
huari-empire,Huari Empire,false,,false,FALLBACK,false,,false,FALLBACK
hunnic-empire,Hunnic Empire,false,,false,FALLBACK,false,,false,FALLBACK
hurrian-kingdoms,Hurrian Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
icelandic-commonwealth,Icelandic Commonwealth,false,,false,FALLBACK,false,,false,FALLBACK
idrisid-caliphate,Idrisid Caliphate,false,,false,FALLBACK,false,,false,FALLBACK
ilkhanate,Ilkhanate,true,Q19609,false,OK,true,Q19609,false,OK
inca-empire,Inca Empire,true,Q35409,false,OK,true,Q35409,false,OK
islamic-and-hindu-states,Islamic And Hindu States,false,,false,FALLBACK,false,,false,FALLBACK
islamic-city-states,Islamic City States,false,,false,FALLBACK,false,,false,FALLBACK
islamic-states,Islamic States,false,,false,FALLBACK,false,,false,FALLBACK
japan-warring-states,Japan (Warring States),false,,false,FALLBACK,false,,false,FALLBACK
jin-empire,Jin Empire,false,,false,FALLBACK,false,,false,FALLBACK
k-hawaii-paeina-hawaiian-kingdom,Kō Hawaiʻi Paeʻāina (Hawaiian Kingdom),false,,false,FALLBACK,false,,false,FALLBACK
kara-khitai-khaganate,Kara Khitai Khaganate,false,,false,FALLBACK,false,,false,FALLBACK
kazan-khanate,Kazan Khanate,false,,false,FALLBACK,false,,false,FALLBACK
khanate-of-sibir,Khanate Of Sibir,false,,false,FALLBACK,false,,false,FALLBACK
khanate-of-the-golden-horde,Khanate Of The Golden Horde,false,,false,FALLBACK,false,,false,FALLBACK
khiva-khanate,Khiva Khanate,false,,false,FALLBACK,false,,false,FALLBACK
khmer-empire,Khmer Empire,true,Q12827,false,OK,true,Q12827,false,OK
kimek-kipchak-khaganate,Kimek Kipchak Khaganate,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-antigonus,Kingdom Of Antigonus,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-brazil,Kingdom Of Brazil,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-david-and-solomon,Kingdom Of David And Solomon,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-france,Kingdom Of France,true,Q70972,false,OK,true,Q70972,false,OK
kingdom-of-gala,Kingdom Of Gala,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-georgia,Kingdom Of Georgia,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-hawaii,Kingdom Of Hawaii,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-hungary,Kingdom Of Hungary,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-ireland,Kingdom Of Ireland,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-kapisa,Kingdom Of Kapisa,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-kashmir,Kingdom Of Kashmir,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-kassander,Kingdom Of Kassander,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-lysimachus,Kingdom Of Lysimachus,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-norway,Kingdom Of Norway,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-pagan,Kingdom Of Pagan,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-sardinia,Kingdom Of Sardinia,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-sind,Kingdom Of Sind,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-sukhotai,Kingdom Of Sukhotai,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-syphax,Kingdom Of Syphax,false,,false,FALLBACK,false,,false,FALLBACK
kingdom-of-the-two-sicilies,Kingdom Of The Two Sicilies,false,,false,FALLBACK,true,Q180393,false,OK
kingdom-of-zunbil,Kingdom Of Zunbil,false,,false,FALLBACK,false,,false,FALLBACK
kong-empire,Kong Empire,false,,false,FALLBACK,false,,false,FALLBACK
korea-democratic-peoples-republic-of,"Korea, Democratic People's Republic Of",false,,false,FALLBACK,false,,false,FALLBACK
korea-republic-of,"Korea, Republic Of",false,,false,FALLBACK,false,,false,FALLBACK
kushan-empire,Kushan Empire,false,,false,FALLBACK,false,,false,FALLBACK
laotian-states,Laotian States,false,,false,FALLBACK,false,,false,FALLBACK
lopburi-kingdom,Lopburi Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
mahratta-states,Mahratta States,false,,false,FALLBACK,false,,false,FALLBACK
maitraka-kingdom,Maitraka Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
malaysian-islamic-states,Malaysian Islamic States,false,,false,FALLBACK,false,,false,FALLBACK
mamluke-sultanate,Mamluke Sultanate,false,,false,FALLBACK,false,,false,FALLBACK
manchu-empire,Manchu Empire,true,Q8733,true,OK,true,Q8733,true,OK
mauryan-empire,Mauryan Empire,false,,false,FALLBACK,false,,false,FALLBACK
maya-chiefdoms-and-states,Maya Chiefdoms And States,false,,false,FALLBACK,false,,false,FALLBACK
maya-city-states,Maya City States,false,,false,FALLBACK,false,,false,FALLBACK
maya-states,Maya States,false,,false,FALLBACK,false,,false,FALLBACK
mesoamerican-city-states-and-chiefdoms,Mesoamerican City States And Chiefdoms,false,,false,FALLBACK,false,,false,FALLBACK
middag-kingdom,Middag Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
ming-chinese-empire,Ming Chinese Empire,false,,false,FALLBACK,false,,false,FALLBACK
ming-empire,Ming Empire,false,,false,FALLBACK,false,,false,FALLBACK
minor-hindu-and-buddhist-kingdoms,Minor Hindu And Buddhist Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
minor-hindu-and-buddhist-states,Minor Hindu And Buddhist States,false,,false,FALLBACK,false,,false,FALLBACK
minor-hindu-buddhist-states,Minor Hindu & Buddhist States,false,,false,FALLBACK,false,,false,FALLBACK
minor-hindu-kingdoms,Minor Hindu Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
minor-states,Minor States,false,,false,FALLBACK,false,,false,FALLBACK
minor-states-under-indian-influence,Minor States Under Indian Influence,false,,false,FALLBACK,false,,false,FALLBACK
mixtec-empire,Mixtec Empire,false,,false,FALLBACK,false,,false,FALLBACK
mon-state,Mon State,false,,false,FALLBACK,false,,false,FALLBACK
mon-states,Mon States,false,,false,FALLBACK,false,,false,FALLBACK
mongol-empire,Mongol Empire,true,Q12544,false,OK,true,Q12544,false,OK
mossi-states,Mossi States,false,,false,FALLBACK,false,,false,FALLBACK
mughal-empire,Mughal Empire,true,Q33296,false,OK,true,Q33296,false,OK
mysore-indian-princely-state,Mysore (Indian Princely State),false,,false,FALLBACK,false,,false,FALLBACK
nabatean-kingdom,Nabatean Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
nogai-horde,Nogai Horde,false,,false,FALLBACK,false,,false,FALLBACK
odrysian-kingdom,Odrysian Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
oirat-confederation,Oirat Confederation,false,,false,FALLBACK,false,,false,FALLBACK
orange-free-state,Orange Free State,false,,false,FALLBACK,false,,false,FALLBACK
ottoman-empire,Ottoman Empire,true,Q12560,false,OK,true,Q12560,false,OK
ottoman-sultanate,Ottoman Sultanate,false,,false,FALLBACK,false,,false,FALLBACK
pallava-state,Pallava State,false,,false,FALLBACK,false,,false,FALLBACK
pandya-state,Pandya State,false,,false,FALLBACK,false,,false,FALLBACK
papal-states,Papal States,true,Q170174,true,OK,true,Q170174,true,OK
parthian-empire,Parthian Empire,false,,false,FALLBACK,false,,false,FALLBACK
polishlithuanian-commonwealth,Polish–Lithuanian Commonwealth,true,Q172107,true,OK,true,Q172107,true,OK
principality-of-galicia-volhynia,Principality Of Galicia Volhynia,false,,false,FALLBACK,false,,false,FALLBACK
principality-of-kyiv,Principality Of Kyiv,false,,false,FALLBACK,false,,false,FALLBACK
principality-of-novgorod,Principality Of Novgorod,false,,false,FALLBACK,false,,false,FALLBACK
principality-of-polotsk,Principality Of Polotsk,false,,false,FALLBACK,false,,false,FALLBACK
principality-of-vladimir-suzdal,Principality Of Vladimir Suzdal,false,,false,FALLBACK,false,,false,FALLBACK
principality-of-wallachia,Principality Of Wallachia,false,,false,FALLBACK,false,,false,FALLBACK
ptolemaic-kingdom,Ptolemaic Kingdom,true,Q11776,false,OK,true,Q11776,false,OK
pyu-state,Pyu State,false,,false,FALLBACK,false,,false,FALLBACK
qing-empire,Qing Empire,false,,false,FALLBACK,false,,false,FALLBACK
quazaq-khanate,Quazaq Khanate,false,,false,FALLBACK,false,,false,FALLBACK
rajput-clans-and-small-states,Rajput Clans And Small States,false,,false,FALLBACK,false,,false,FALLBACK
rajput-kingdoms,Rajput Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
rashtrakuta-state,Rashtrakuta State,false,,false,FALLBACK,false,,false,FALLBACK
rattanakosin-kingdom,Rattanakosin Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
republic-of-krakw,Republic Of Kraków,false,,false,FALLBACK,false,,false,FALLBACK
republic-of-the-seven-zenden,Republic Of The Seven Zenden,false,,false,FALLBACK,false,,false,FALLBACK
rift-valley-states,Rift Valley States,false,,false,FALLBACK,false,,false,FALLBACK
roman-empire,Roman Empire,true,Q2277,true,OK,true,Q2277,true,OK
roman-republic,Roman Republic,true,Q6134,false,OK,true,Q6134,false,OK
rus-khaganate,Rus' Khaganate,false,,false,FALLBACK,false,,false,FALLBACK
russian-empire,Russian Empire,true,Q34266,false,OK,true,Q34266,false,OK
saar-protectorate,Saar Protectorate,false,,false,FALLBACK,false,,false,FALLBACK
safavid-empire,Safavid Empire,true,Q18234383,true,OK,true,Q18234383,true,OK
saka-kingdom,Saka Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
samanid-empire,Samanid Empire,false,,false,FALLBACK,false,,false,FALLBACK
sasanian-empire,Sasanian Empire,true,Q12557,true,OK,true,Q12557,true,OK
second-samori-empire,Second Samori Empire,false,,false,FALLBACK,false,,false,FALLBACK
seleucid-kingdom,Seleucid Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
seljuk-caliphate,Seljuk Caliphate,false,,false,FALLBACK,false,,false,FALLBACK
seljuk-empire,Seljuk Empire,false,,false,FALLBACK,false,,false,FALLBACK
shan-states,Shan States,true,Q4765854,true,OK,true,Q4765854,true,OK
sikkim-indian-princely-state,Sikkim (Indian Princely State),false,,false,FALLBACK,false,,false,FALLBACK
sinhalese-kingdom,Sinhalese Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
sinhalese-kingdoms,Sinhalese Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
sixteen-kingdoms,Sixteen Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
sokoto-caliphate,Sokoto Caliphate,false,,false,FALLBACK,false,,false,FALLBACK
song-empire,Song Empire,false,,false,FALLBACK,false,,false,FALLBACK
srivijaya-empire,Srivijaya Empire,false,,false,FALLBACK,false,,false,FALLBACK
state-societies-and-aramaean-kingdoms,State Societies And Aramaean Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
sui-empire,Sui Empire,false,,false,FALLBACK,false,,false,FALLBACK
sultanate-of-damagaram,Sultanate Of Damagaram,false,,false,FALLBACK,false,,false,FALLBACK
sultanate-of-delhi,Sultanate Of Delhi,false,,false,FALLBACK,false,,false,FALLBACK
sultanate-of-utetera,Sultanate Of Utetera,false,,false,FALLBACK,false,,false,FALLBACK
suren-kingdom,Suren Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
swiss-confederation,Swiss Confederation,false,,false,FALLBACK,true,Q39,true,OK
tang-empire,Tang Empire,false,,false,FALLBACK,false,,false,FALLBACK
tanzania-united-republic-of,"Tanzania, United Republic Of",false,,false,FALLBACK,false,,false,FALLBACK
thai-kingdoms,Thai Kingdoms,false,,false,FALLBACK,false,,false,FALLBACK
tiahuanaco-empire,Tiahuanaco Empire,false,,false,FALLBACK,false,,false,FALLBACK
tibetan-empire,Tibetan Empire,true,Q152526,false,OK,true,Q152526,false,OK
timurid-empire,Timurid Empire,true,Q165092,true,OK,true,Q165092,true,OK
tokugawa-shogunate,Tokugawa Shogunate,false,,false,FALLBACK,false,,false,FALLBACK
toltec-empire,Toltec Empire,false,,false,FALLBACK,false,,false,FALLBACK
tsardom-of-muscovy,Tsardom Of Muscovy,false,,false,FALLBACK,false,,false,FALLBACK
tufan-empire,Tufan Empire,false,,false,FALLBACK,false,,false,FALLBACK
tui-tonga-empire,Tuʻi Tonga Empire,false,,false,FALLBACK,false,,false,FALLBACK
tukular-caliphate,Tukular Caliphate,false,,false,FALLBACK,false,,false,FALLBACK
umayyad-caliphate,Umayyad Caliphate,true,Q8806,true,OK,true,Q8806,true,OK
united-kingdom,United Kingdom,true,Q145,false,OK,true,Q145,false,OK
united-kingdom-of-great-britain-and-ireland,United Kingdom Of Great Britain And Ireland,false,,false,FALLBACK,false,,false,FALLBACK
united-kingdom-of-netherlands,United Kingdom Of Netherlands,false,,false,FALLBACK,false,,false,FALLBACK
united-states,United States,true,Q30,true,OK,true,Q30,true,OK
united-states-of-america,United States Of America,false,,false,FALLBACK,false,,false,FALLBACK
united-states-virgin-islands,United States Virgin Islands,false,,false,FALLBACK,false,,false,FALLBACK
visigothic-kingdom,Visigothic Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
wadai-empire,Wadai Empire,false,,false,FALLBACK,false,,false,FALLBACK
wassoulou-empire,Wassoulou Empire,false,,false,FALLBACK,false,,false,FALLBACK
wattasid-caliphate,Wattasid Caliphate,false,,false,FALLBACK,false,,false,FALLBACK
western-gokturk-khaganate,Western Gokturk Khaganate,false,,false,FALLBACK,false,,false,FALLBACK
western-roman-empire,Western Roman Empire,true,Q186077,true,OK,true,Q186077,true,OK
white-horde,White Horde,false,,false,FALLBACK,false,,false,FALLBACK
zapotec-empire,Zapotec Empire,false,,false,FALLBACK,false,,false,FALLBACK
zayyanid-caliphate,Zayyanid Caliphate,false,,false,FALLBACK,false,,false,FALLBACK
zhangzhung-kingdom,Zhangzhung Kingdom,false,,false,FALLBACK,false,,false,FALLBACK
zhou-states,Zhou States,false,,false,FALLBACK,false,,false,FALLBACK
zhow-states,Zhow States,false,,false,FALLBACK,false,,false,FALLBACK
